feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
KGPAYJZAMGEDIQ-UHFFFAOYNA-N,Laudanosine,Laudanosine,358.20242,5.585,-4.184768876666666,0.000721019944508593,metabolomics
ZNMZYHOEYPCVMP-MITQYPHISA-N,Phosphatidylethanolamine ... 18,Phosphatidylethanolamine (22:0/16:1) Abbr: BPoPE,796.57794,2.654,-3.40579635333334,0.0007216997459013186,metabolomics
ZFXXVVRQQNCNDM-UHFFFAOYSA-N,NCGC00380411-01!7-(2-amin...,NCGC00380411-01!7-(2-aminophenyl)heptanoic acid,222.14528,4.675,1.474916399999998,0.0007246696736250152,metabolomics
DRHZNTAKNLCGTI-UHFFFAOYSA-N,5-(hydroxymethyl)-3-(1-hy...,5-(hydroxymethyl)-3-(1-hydroxy-5-methylhexyl)oxolan-2-one,213.14384,1.885,1.1372010733333298,0.000732887075658938,metabolomics
LINCEHCWNRFISH-WMLDXEAASA-N,"2-(3,5-difluorophenyl)-N-...","2-(3,5-difluorophenyl)-N-(((1S,9aR)-octahydro-1H-quinolizin-1-yl)methyl)acetamide",323.19363,1.713,1.2613951033333315,0.0007582801011843094,metabolomics
HXHWSAZORRCQMX-UHFFFAOYSA-N,Albendazole,Albendazole,266.09009,9.524,0.7647807933333333,0.0007607613342572018,metabolomics
IMPPGHMHELILKG-UHFFFAOYSA-N,p-phenetidine,p-phenetidine,138.0899,4.367,1.9303606366666628,0.000772266830542701,metabolomics
ISRUGXGCCGIOQO-UHFFFAOYSA-N,Pesticide3_Propoxur_C11H1...,Pesticide3_Propoxur_C11H15NO3_Baygon,210.11143,1.858,1.36502573333334,0.0007968941124945846,metabolomics
YGTPKDKJVZOVCO-KELBJJLKSA-N,BEKANAMYCIN SULFATE,BEKANAMYCIN SULFATE,604.20593,1.457,1.3564761333333308,0.0007983242598769381,metabolomics
WTPJPYNIRFDQSR-UHFFFAOYSA-N,NCGC00384565-01!6-hydroxy...,"NCGC00384565-01!6-hydroxy-8-(7-hydroxy-2-oxochromen-8-yl)-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one",499.08508,1.432,-2.8157680433333354,0.0008066065933786499,metabolomics
WXUQMTRHPNOXBV-UHFFFAOYSA-N,Urolithin B,Urolithin B,213.05467,2.394,1.220713873333338,0.0008330463848736112,metabolomics
