feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
ZMISCQMWHXHBIY-UHFFFAOYSA-N,PI 39:0 #2,PI 39:0 [m/z 939.6133 rt 10.99],939.61328,10.994,-0.1763921999999951,0.1342212893600606,lipidomics
YWFIAALOXZWXDK-UHFFFAOYSA-N,SMGDG O-39:5,SMGDG O-39:5,883.56372,12.016,6.623046903999999,0.1342212893600606,lipidomics
FBFMUKJSIKQQLB-UHFFFAOYSA-N,MGMG 15:4,MGMG 15:4,529.26355,9.735,-0.1672849066666675,0.1342212893600606,lipidomics
AVUPTUJEMLICEL-UHFFFAOYSA-N,Cer 29:6 #1,Cer 29:6 [m/z 440.3562 rt 2.53],440.35623,2.531,0.131358073333331,0.1343672562933899,lipidomics
LHDULCBMVFUBCL-UHFFFAOYSA-N,SHexCer 46:9,SHexCer 46:9 [m/z 932.5900 rt 1.29],932.59003,1.286,-0.1776646866666702,0.1343762028502385,lipidomics
MGDBSUWQPQWINH-UHFFFAOYSA-N,SE 28:4/19:1,SE 28:4/19:1,673.59058,13.278,-0.1077591133333299,0.1343762028502385,lipidomics
CVMLTUJTBKZXAD-UHFFFAOYSA-N,PC O-14:0,PC O-14:0,542.30225,1.685,-0.5782397133333355,0.1345832083167675,lipidomics
LFXVZPCVIMQXCM-UHFFFAOYSA-N,DLCL 36:0,DLCL 36:0,931.57568,9.404,-0.2650602733333329,0.134743714496872,lipidomics
IPZXRDVLGIGZTE-UHFFFAOYSA-N,SMGDG O-47:10,SMGDG O-47:10,985.59576,10.79,-0.2667125033333288,0.1348646772637776,lipidomics
ULJHDQDKNYNHMU-UHFFFAOYSA-N,PS O-49:12,PS O-49:12,934.60406,8.907,-1.1405580800000052,0.1348646772637776,lipidomics
GHUOUTZAMXXQQP-UHFFFAOYSA-N,FA 24:3,FA 24:3,361.31357,6.725,-0.2458264999999997,0.1348646772637776,lipidomics
PMKLMPPHTGNUSD-UHFFFAOYSA-N,DGMG 16:1,DGMG 16:1,711.38031,1.377,-0.264770106666667,0.1348646772637776,lipidomics
TZCDCYLRONWTME-UHFFFAOYSA-N,SM 53:5 #2,SM 53:5 [m/z 977.8048 rt 12.07],977.80481,12.075,0.1966818300000028,0.1350241027508079,lipidomics
ROEJERDTNWBTNH-UHFFFAOYSA-N,NAGlySer 46:11,NAGlySer 46:11,848.61475,11.17,0.7683268733333328,0.1350241027508079,lipidomics
AWMMQCYZDBEDRN-UHFFFAOYSA-N,BMP 35:3,BMP 35:3,776.53668,1.303,0.5359270599999988,0.1350468414771912,lipidomics
MBWAUOXLNSDGNL-UHFFFAOYSA-N,ASG 28:2 #17,ASG 28:2 [m/z 746.5887 rt 9.27],746.58868,9.265,-0.1441918266666668,0.1351336503376731,lipidomics
LAYXSTYJRSVXIH-UHFFFAOYSA-N,LPA 18:0,LPA 18:0,437.26831,4.857,0.1550116933333303,0.1353040238626859,lipidomics
LYZIZUCOAQVNQU-UHFFFAOYSA-N,MIPC 32:5,MIPC 32:5,938.46967,1.28,0.4122449366666636,0.135446927264479,lipidomics
GLWIEJHPMYSVBL-UHFFFAOYSA-N,GD3 36:0,GD3 36:0,735.92004,7.929,-0.2225210500000027,0.135446927264479,lipidomics
ANLRSXUIPXPKPF-UHFFFAOYSA-N,DMPE 53:14,DMPE 53:14,984.63318,12.224,0.616081409999996,0.1358482064126963,lipidomics
BDWFQJZPLNPBJD-UHFFFAOYSA-N,PC O-32:0 #2,PC O-32:0 [m/z 794.5962 rt 9.58],794.59619,9.581,-0.1135694733333387,0.1358482064126963,lipidomics
ZMJGOHBUDGYERH-UHFFFAOYSA-N,AHexCer 40:2 #2,AHexCer 40:2 [m/z 812.6268 rt 9.65],812.62677,9.652,-0.1120146433333282,0.1358482064126963,lipidomics
BPKXWZCPRMIUJN-UHFFFAOYSA-N,HexCer 42:1,HexCer 42:1,794.69067,1.264,-0.1695896866666686,0.1359827172893367,lipidomics
NBOUVXSQNXDJHU-UHFFFAOYSA-N,TG 50:4 #1,TG 50:4 [m/z 844.7380 rt 15.03],844.73798,15.029,-0.7698590900000006,0.1361441303339216,lipidomics
BPFFRGBDZVPQDY-UHFFFAOYSA-N,DMPE 34:2,DMPE 34:2,742.53528,9.809,-0.4676597133333313,0.1362502432799132,lipidomics
NDABSLHJZNSZCM-UHFFFAOYSA-N,PA 44:3,PA 44:3,809.61627,13.084,0.9331783299999988,0.1363801572381777,lipidomics
QPCNEWZYEQOLMQ-UHFFFAOYSA-N,PG 16:1,PG 16:1,511.22821,3.415,0.4732250566666671,0.1363871031084798,lipidomics
DDARUATWDOWXOV-UHFFFAOYSA-N,BMP 52:13,BMP 52:13,994.64874,1.258,0.240730326666668,0.1365506461067002,lipidomics
MZDQNBMRIBWDRZ-UHFFFAOYSA-N,ASG 28:2 #20,ASG 28:2 [m/z 868.7057 rt 1.26],868.70569,1.256,0.2595257233333292,0.1367543443466776,lipidomics
ICPXEEUXRWKHSX-UHFFFAOYSA-N,TG 40:4 #1,TG 40:4 [m/z 709.5465 rt 10.04],709.54651,10.043,-0.1111640666666744,0.1370060233735703,lipidomics
DMOBSTZSUPKHDD-UHFFFAOYSA-N,HexCer 34:4,HexCer 34:4,692.50171,13.59,-0.2889681566666624,0.1370449803960246,lipidomics
UGGZHKANHUYCLX-UHFFFAOYSA-N,SM 20:0 #2,SM 20:0 [m/z 509.3792 rt 4.91],509.37924,4.909,0.1792094133333286,0.1370606090676753,lipidomics
BRAONKWRWHVFMX-UHFFFAOYSA-N,MGDG O-36:10,MGDG O-36:10,770.51733,9.6,0.3025742766666717,0.13744902428871,lipidomics
ZJURWHCCGQWPGG-UHFFFAOYSA-N,TG 23:2 #2,TG 23:2 [m/z 486.3429 rt 2.24],486.34286,2.243,-0.099399946666665,0.1376008753100265,lipidomics
HSQUPFRPPHLLOG-UHFFFAOYSA-N,PC O-44:9 #2,PC O-44:9 [m/z 960.6398 rt 9.41],960.63977,9.407,-0.7298631099999984,0.1377532902650744,lipidomics
NAJDYPOVRKCDJW-UHFFFAOYSA-N,Cer 37:7 #1,Cer 37:7 [m/z 566.4533 rt 9.74],566.45325,9.737,-0.1531207533333329,0.1384153482930769,lipidomics
VYHLDCYXBXMMDJ-UHFFFAOYSA-N,CL 79:7,CL 79:7,773.53107,8.495,0.1768674366666651,0.1386661890818714,lipidomics
AHBOWVNSRXAAGN-UHFFFAOYSA-N,PC O-41:6,PC O-41:6,834.63153,13.279,0.5665638933333348,0.1388640757445376,lipidomics
KWOUNBXGEQNXTM-UHFFFAOYSA-N,SE 24:1 #27,SE 24:1 [m/z 774.6521 rt 14.01],774.6521,14.005,0.138399360000001,0.1388640757445376,lipidomics
IBNWGORFYAJDGT-UHFFFAOYSA-N,SL 32:6 #1,SL 32:6 [m/z 581.4030 rt 9.76],581.40295,9.755,0.6212411299999943,0.1392334787327208,lipidomics
YBQAFKGWHATJDV-UHFFFAOYSA-N,TG 47:2 #2,TG 47:2 [m/z 806.7165 rt 12.52],806.71649,12.523,7.5905576566666655,0.1393115997915933,lipidomics
HXCGWSMJPUIOFN-UHFFFAOYSA-N,DLCL 24:0,DLCL 24:0,763.38788,1.284,-0.4852405566666711,0.1395798862265246,lipidomics
XBANOLXBOYWGMA-UHFFFAOYSA-N,CL 96:12,CL 96:12,887.63525,9.746,0.1780957233333335,0.1396545889408104,lipidomics
BIYYGVORNBZLOT-UHFFFAOYSA-N,PG O-34:1,PG O-34:1,733.53699,8.683,7.006408423333334,0.139886216725132,lipidomics
KMHMGDROGRSOES-UHFFFAOYSA-N,SM 47:4,SM 47:4,879.73285,15.115,0.1411789266666687,0.139922865041242,lipidomics
KTCADKUSNFEWOS-UHFFFAOYSA-N,SM 42:7,SM 42:7,819.59985,12.631,0.4624511600000041,0.139922865041242,lipidomics
RVTZGXDTQYJPBM-UHFFFAOYSA-N,TG 54:15,TG 54:15,883.59271,13.423,0.3874464999999993,0.1402961621555882,lipidomics
GYWCXMVSOLKXST-UHFFFAOYSA-N,DGDG 30:3,DGDG 30:3,876.56628,1.814,0.6484926166666618,0.1402961621555882,lipidomics
VXSBDLGGIOFIPA-UHFFFAOYSA-N,PC O-31:5,PC O-31:5 [m/z 696.4997 rt 10.06],696.49969,10.064,0.5835519600000012,0.1402961621555882,lipidomics
QEGNKYKZRCJITM-UHFFFAOYSA-N,Cer 37:7 #3,Cer 37:7 [m/z 598.4386 rt 10.10],598.4386,10.096,-0.5670735766666688,0.1411270790411849,lipidomics
MYNUCSGVFRVZIV-UHFFFAOYSA-N,MIPC 36:5,MIPC 36:5,994.5332,10.678,0.4678785866666644,0.1412918651000715,lipidomics
PWLFUWVZTDQSKU-UHFFFAOYSA-N,AHexCer 51:8,AHexCer 51:8,952.68915,12.559,-0.3338690233333281,0.1413979742326488,lipidomics
PRKSHCSSUPPGLK-UHFFFAOYSA-N,TG 45:4 #1,TG 45:4 [m/z 779.6299 rt 11.98],779.62988,11.981,-0.0863658133333409,0.1417862425991393,lipidomics
KMKHIWYQQPZVPC-UHFFFAOYSA-N,Cer 38:4 #1,Cer 38:4 [m/z 602.5216 rt 10.49],602.52161,10.489,0.1574919166666664,0.1417862425991393,lipidomics
WSDLBQIEAOEGIA-UHFFFAOYSA-N,Cer 38:5 #1,Cer 38:5 [m/z 618.5105 rt 9.27],618.5105,9.265,-0.2079105966666699,0.1421697548729223,lipidomics
PIKATRARSGJDNU-UHFFFAOYSA-N,DG 51:8,DG 51:8,841.66028,12.491,-0.2012128999999998,0.1423259702104275,lipidomics
KRHGBTQIJRHQEL-UHFFFAOYSA-N,BA 24:1 #91,BA 24:1 [m/z 833.6350 rt 14.07],833.63501,14.07,-0.4231760533333339,0.142485062725978,lipidomics
OCHBLPRSMSKWND-UHFFFAOYSA-N,SM 23:1,SM 23:1,623.4079,10.522,-0.1672795866666661,0.1424934654278139,lipidomics
ARXKOOOSTDORGA-UHFFFAOYSA-N,HexCer 36:0 #2,HexCer 36:0 [m/z 762.6102 rt 1.31],762.61017,1.308,0.1867785599999969,0.1428867247963678,lipidomics
IWNQQBAVJKLLHW-UHFFFAOYSA-N,PA 43:0,PA 43:0,801.65588,10.52,-0.1865539400000031,0.1431404917824024,lipidomics
GGSSNEAFVQRIHU-UHFFFAOYSA-N,PI 38:3 #1,PI 38:3 [m/z 887.5658 rt 8.94],887.5658,8.936,-0.1750807866666655,0.1431404917824024,lipidomics
KYSNBRNEXPARFN-UHFFFAOYSA-N,HBMP 49:11,HBMP 49:11,951.57385,9.012,-0.6963313099999997,0.143914145680935,lipidomics
INKFFILOUZHCLC-UHFFFAOYSA-N,PI 40:7 #1,PI 40:7 [m/z 939.5242 rt 7.97],939.52417,7.971,-1.3859567233333312,0.1439573863413347,lipidomics
JDQKYXCHAFNIET-UHFFFAOYSA-N,BA 24:1 #82,BA 24:1 [m/z 799.5923 rt 11.41],799.59229,11.409,-0.1667839366666683,0.1439573863413347,lipidomics
